municipality_code,municipality_name,prefecture,population_2024_available,area_km2_available,population_density_2024_available,population_density_2024,v5_population_density_2020,source_population,source_area,notes
13225,稲城市,13,YES,YES,YES,5218.81,5220.59,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13227,羽村市,13,YES,YES,YES,5495.52,5496.77,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13228,あきる野市,13,YES,YES,YES,1082.26,1082.44,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13229,西東京市,13,YES,YES,YES,13070.63,13075.52,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13303,瑞穂町,13,YES,YES,YES,1903.23,1903.71,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13305,日の出町,13,YES,YES,YES,580.62,580.72,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13307,檜原村,13,YES,YES,YES,18.84,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13308,奥多摩町,13,YES,YES,YES,20.41,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13361,大島町,13,YES,YES,YES,76.93,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13362,利島村,13,YES,YES,YES,77.79,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13363,新島村,13,YES,YES,YES,89.08,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13364,神津島村,13,YES,YES,YES,95.51,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13381,三宅村,13,YES,YES,YES,40.79,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13382,御蔵島村,13,YES,YES,YES,14.27,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13401,八丈町,13,YES,YES,YES,96.46,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13402,青ヶ島村,13,YES,YES,YES,26.21,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
13421,小笠原村,13,YES,YES,YES,23.0,,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14101,横浜市鶴見区,14,YES,YES,YES,8854.77,8858.72,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14102,横浜市神奈川区,14,YES,YES,YES,10272.77,10277.02,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14103,横浜市西区,14,YES,YES,YES,14962.57,14968.75,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14104,横浜市中区,14,YES,YES,YES,6998.31,7001.35,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14105,横浜市南区,14,YES,YES,YES,15818.17,15824.55,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14106,横浜市保土ケ谷区,14,YES,YES,YES,9264.07,9267.68,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14107,横浜市磯子区,14,YES,YES,YES,8735.9,8739.48,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14108,横浜市金沢区,14,YES,YES,YES,6245.6,6248.19,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14109,横浜市港北区,14,YES,YES,YES,11321.6,11326.31,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14110,横浜市戸塚区,14,YES,YES,YES,7870.02,7872.86,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14111,横浜市港南区,14,YES,YES,YES,10709.09,10713.26,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14112,横浜市旭区,14,YES,YES,YES,7421.29,7423.96,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14113,横浜市緑区,14,YES,YES,YES,7125.6,7128.16,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14114,横浜市瀬谷区,14,YES,YES,YES,7113.39,7115.78,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14115,横浜市栄区,14,YES,YES,YES,6545.21,6547.67,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14116,横浜市泉区,14,YES,YES,YES,6416.19,6418.39,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14117,横浜市青葉区,14,YES,YES,YES,8749.19,8752.33,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14118,横浜市都筑区,14,YES,YES,YES,7725.6,7728.62,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14131,川崎市川崎区,14,YES,YES,YES,5898.59,5901.4,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14132,川崎市幸区,14,YES,YES,YES,17314.53,17322.27,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14133,川崎市中原区,14,YES,YES,YES,17794.53,17802.23,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14134,川崎市高津区,14,YES,YES,YES,14140.29,14146.12,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14135,川崎市多摩区,14,YES,YES,YES,10553.53,10557.49,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14136,川崎市宮前区,14,YES,YES,YES,12613.75,12618.69,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14137,川崎市麻生区,14,YES,YES,YES,7663.61,7666.25,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14151,相模原市緑区,14,YES,YES,YES,656.19,656.28,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14152,相模原市中央区,14,YES,YES,YES,7386.06,7387.98,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14153,相模原市南区,14,YES,YES,YES,7318.47,7320.56,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14201,横須賀市,14,YES,YES,YES,3804.47,3806.12,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14203,平塚市,14,YES,YES,YES,3795.78,3796.64,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14204,鎌倉市,14,YES,YES,YES,4428.29,4429.91,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14205,藤沢市,14,YES,YES,YES,6399.5,6401.53,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14206,小田原市,14,YES,YES,YES,1646.55,1646.71,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14207,茅ヶ崎市,14,YES,YES,YES,6945.41,6947.39,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14208,逗子市,14,YES,YES,YES,3386.76,3388.1,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14210,三浦市,14,YES,YES,YES,1265.94,1266.47,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14211,秦野市,14,YES,YES,YES,1534.87,1535.09,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14212,厚木市,14,YES,YES,YES,2386.78,2387.33,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14213,大和市,14,YES,YES,YES,9045.66,9048.52,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14214,伊勢原市,14,YES,YES,YES,1802.72,1803.1,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14215,海老名市,14,YES,YES,YES,5251.01,5252.46,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14216,座間市,14,YES,YES,YES,7477.66,7479.8,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14217,南足柄市,14,YES,YES,YES,527.28,527.3,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14218,綾瀬市,14,YES,YES,YES,3798.34,3799.48,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14301,葉山町,14,YES,YES,YES,1893.65,1894.41,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14321,寒川町,14,YES,YES,YES,3683.73,3684.73,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14341,大磯町,14,YES,YES,YES,1845.6,1845.98,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14342,二宮町,14,YES,YES,YES,3057.92,3058.46,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14361,中井町,14,YES,YES,YES,446.72,446.78,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14362,大井町,14,YES,YES,YES,1215.04,1215.18,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14363,松田町,14,YES,YES,YES,277.81,277.84,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14364,山北町,14,YES,YES,YES,42.01,42.01,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14366,開成町,14,YES,YES,YES,2847.21,2847.44,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14382,箱根町,14,YES,YES,YES,117.46,117.46,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14383,真鶴町,14,YES,YES,YES,952.34,952.42,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14384,湯河原町,14,YES,YES,YES,573.23,573.25,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14401,愛川町,14,YES,YES,YES,1152.31,1152.55,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
14402,清川村,14,YES,YES,YES,38.8,38.8,Basic Resident Register 2024-01-01 (000959256.xlsx),N03-20250101 geodesic area,density = pop_2024 / area_km2
