municipality_code,municipality_name,prefecture,establishment_count_available,area_km2_available,commercial_density_available,establishment_count,commercial_density,source_table_id,economic_census_year,notes
12101,千葉市中央区,12,YES,YES,YES,10098,225.83,0004005655,2021,establishments/area_km2
12102,千葉市花見川区,12,YES,YES,YES,3844,112.43,0004005655,2021,establishments/area_km2
12103,千葉市稲毛区,12,YES,YES,YES,3974,187.26,0004005655,2021,establishments/area_km2
12104,千葉市若葉区,12,YES,YES,YES,3861,45.86,0004005655,2021,establishments/area_km2
12105,千葉市緑区,12,YES,YES,YES,2510,37.89,0004005655,2021,establishments/area_km2
12106,千葉市美浜区,12,YES,YES,YES,3539,166.96,0004005655,2021,establishments/area_km2
12202,銚子市,12,YES,YES,YES,3096,36.81,0004005655,2021,establishments/area_km2
12203,市川市,12,YES,YES,YES,11551,202.92,0004005655,2021,establishments/area_km2
12204,船橋市,12,YES,YES,YES,15194,177.46,0004005655,2021,establishments/area_km2
12205,館山市,12,YES,YES,YES,2403,21.84,0004005655,2021,establishments/area_km2
12206,木更津市,12,YES,YES,YES,5221,37.59,0004005655,2021,establishments/area_km2
12207,松戸市,12,YES,YES,YES,12947,210.94,0004005655,2021,establishments/area_km2
12208,野田市,12,YES,YES,YES,4687,45.26,0004005655,2021,establishments/area_km2
12210,茂原市,12,YES,YES,YES,3244,32.47,0004005655,2021,establishments/area_km2
12211,成田市,12,YES,YES,YES,5227,24.44,0004005655,2021,establishments/area_km2
12212,佐倉市,12,YES,YES,YES,4417,42.6,0004005655,2021,establishments/area_km2
12213,東金市,12,YES,YES,YES,2228,25.0,0004005655,2021,establishments/area_km2
12215,旭市,12,YES,YES,YES,2840,21.77,0004005655,2021,establishments/area_km2
12216,習志野市,12,YES,YES,YES,3944,188.06,0004005655,2021,establishments/area_km2
12217,柏市,12,YES,YES,YES,11976,104.37,0004005655,2021,establishments/area_km2
12218,勝浦市,12,YES,YES,YES,1006,10.69,0004005655,2021,establishments/area_km2
12219,市原市,12,YES,YES,YES,8380,22.76,0004005655,2021,establishments/area_km2
12220,流山市,12,YES,YES,YES,4241,120.06,0004005655,2021,establishments/area_km2
12221,八千代市,12,YES,YES,YES,4770,92.82,0004005655,2021,establishments/area_km2
12222,我孫子市,12,YES,YES,YES,2812,65.17,0004005655,2021,establishments/area_km2
12223,鴨川市,12,YES,YES,YES,1752,9.17,0004005655,2021,establishments/area_km2
12224,鎌ケ谷市,12,YES,YES,YES,2693,127.72,0004005655,2021,establishments/area_km2
12225,君津市,12,YES,YES,YES,3074,9.64,0004005655,2021,establishments/area_km2
12226,富津市,12,YES,YES,YES,1723,8.39,0004005655,2021,establishments/area_km2
12227,浦安市,12,YES,YES,YES,4304,228.69,0004005655,2021,establishments/area_km2
12228,四街道市,12,YES,YES,YES,2370,68.65,0004005655,2021,establishments/area_km2
12229,袖ケ浦市,12,YES,YES,YES,1952,20.59,0004005655,2021,establishments/area_km2
12230,八街市,12,YES,YES,YES,2361,31.51,0004005655,2021,establishments/area_km2
12231,印西市,12,YES,YES,YES,2427,19.61,0004005655,2021,establishments/area_km2
12232,白井市,12,YES,YES,YES,1704,48.03,0004005655,2021,establishments/area_km2
12233,富里市,12,YES,YES,YES,1533,28.45,0004005655,2021,establishments/area_km2
12234,南房総市,12,YES,YES,YES,1798,7.83,0004005655,2021,establishments/area_km2
12235,匝瑳市,12,YES,YES,YES,1514,14.92,0004005655,2021,establishments/area_km2
12236,香取市,12,YES,YES,YES,3182,12.13,0004005655,2021,establishments/area_km2
12237,山武市,12,YES,YES,YES,1635,11.14,0004005655,2021,establishments/area_km2
12238,いすみ市,12,YES,YES,YES,1475,9.37,0004005655,2021,establishments/area_km2
12239,大網白里市,12,YES,YES,YES,1289,22.19,0004005655,2021,establishments/area_km2
12322,酒々井町,12,YES,YES,YES,750,39.46,0004005655,2021,establishments/area_km2
12329,栄町,12,YES,YES,YES,456,14.03,0004005655,2021,establishments/area_km2
12342,神崎町,12,YES,YES,YES,206,10.35,0004005655,2021,establishments/area_km2
12347,多古町,12,YES,YES,YES,737,10.12,0004005655,2021,establishments/area_km2
12349,東庄町,12,YES,YES,YES,490,10.59,0004005655,2021,establishments/area_km2
12403,九十九里町,12,YES,YES,YES,620,25.37,0004005655,2021,establishments/area_km2
12409,芝山町,12,YES,YES,YES,488,11.28,0004005655,2021,establishments/area_km2
12410,横芝光町,12,YES,YES,YES,858,12.8,0004005655,2021,establishments/area_km2
12421,一宮町,12,YES,YES,YES,501,21.81,0004005655,2021,establishments/area_km2
12422,睦沢町,12,YES,YES,YES,227,6.38,0004005655,2021,establishments/area_km2
12423,長生村,12,YES,YES,YES,404,14.3,0004005655,2021,establishments/area_km2
12424,白子町,12,YES,YES,YES,377,13.71,0004005655,2021,establishments/area_km2
12426,長柄町,12,YES,YES,YES,270,5.73,0004005655,2021,establishments/area_km2
12427,長南町,12,YES,YES,YES,321,4.9,0004005655,2021,establishments/area_km2
12441,大多喜町,12,YES,YES,YES,509,3.92,0004005655,2021,establishments/area_km2
12443,御宿町,12,YES,YES,YES,327,13.24,0004005655,2021,establishments/area_km2
12463,鋸南町,12,YES,YES,YES,352,7.79,0004005655,2021,establishments/area_km2
13101,千代田区,13,YES,YES,YES,35990,3169.82,0004005655,2021,establishments/area_km2
13102,中央区,13,YES,YES,YES,34126,3406.86,0004005655,2021,establishments/area_km2
13103,港区,13,YES,YES,YES,41049,1968.52,0004005655,2021,establishments/area_km2
13104,新宿区,13,YES,YES,YES,33094,1815.95,0004005655,2021,establishments/area_km2
13105,文京区,13,YES,YES,YES,13761,1219.28,0004005655,2021,establishments/area_km2
13106,台東区,13,YES,YES,YES,22881,2264.03,0004005655,2021,establishments/area_km2
13107,墨田区,13,YES,YES,YES,14895,1081.53,0004005655,2021,establishments/area_km2
13108,江東区,13,YES,YES,YES,19443,439.98,0004005655,2021,establishments/area_km2
13109,品川区,13,YES,YES,YES,19897,870.76,0004005655,2021,establishments/area_km2
13110,目黒区,13,YES,YES,YES,12275,836.49,0004005655,2021,establishments/area_km2
13111,大田区,13,YES,YES,YES,28532,461.26,0004005655,2021,establishments/area_km2
13112,世田谷区,13,YES,YES,YES,27500,473.69,0004005655,2021,establishments/area_km2
13113,渋谷区,13,YES,YES,YES,33284,2202.71,0004005655,2021,establishments/area_km2
13114,中野区,13,YES,YES,YES,11962,767.07,0004005655,2021,establishments/area_km2
13115,杉並区,13,YES,YES,YES,19274,565.96,0004005655,2021,establishments/area_km2
13116,豊島区,13,YES,YES,YES,19141,1471.02,0004005655,2021,establishments/area_km2
13117,北区,13,YES,YES,YES,11709,568.15,0004005655,2021,establishments/area_km2
13118,荒川区,13,YES,YES,YES,8346,821.78,0004005655,2021,establishments/area_km2
13119,板橋区,13,YES,YES,YES,17238,534.96,0004005655,2021,establishments/area_km2
13120,練馬区,13,YES,YES,YES,20343,423.09,0004005655,2021,establishments/area_km2
13121,足立区,13,YES,YES,YES,23123,434.27,0004005655,2021,establishments/area_km2
13122,葛飾区,13,YES,YES,YES,15600,447.26,0004005655,2021,establishments/area_km2
13123,江戸川区,13,YES,YES,YES,19778,404.86,0004005655,2021,establishments/area_km2
13201,八王子市,13,YES,YES,YES,17390,93.3,0004005655,2021,establishments/area_km2
13202,立川市,13,YES,YES,YES,7692,315.76,0004005655,2021,establishments/area_km2
13203,武蔵野市,13,YES,YES,YES,7717,702.88,0004005655,2021,establishments/area_km2
13204,三鷹市,13,YES,YES,YES,4957,301.81,0004005655,2021,establishments/area_km2
13205,青梅市,13,YES,YES,YES,4243,41.07,0004005655,2021,establishments/area_km2
13206,府中市,13,YES,YES,YES,7330,249.1,0004005655,2021,establishments/area_km2
13207,昭島市,13,YES,YES,YES,3330,192.06,0004005655,2021,establishments/area_km2
13208,調布市,13,YES,YES,YES,6666,308.87,0004005655,2021,establishments/area_km2
13209,町田市,13,YES,YES,YES,11694,163.45,0004005655,2021,establishments/area_km2
13210,小金井市,13,YES,YES,YES,2866,253.73,0004005655,2021,establishments/area_km2
13211,小平市,13,YES,YES,YES,4360,212.53,0004005655,2021,establishments/area_km2
13212,日野市,13,YES,YES,YES,4309,156.43,0004005655,2021,establishments/area_km2
13213,東村山市,13,YES,YES,YES,3633,212.02,0004005655,2021,establishments/area_km2
13214,国分寺市,13,YES,YES,YES,3413,297.91,0004005655,2021,establishments/area_km2
13215,国立市,13,YES,YES,YES,2637,323.62,0004005655,2021,establishments/area_km2
13218,福生市,13,YES,YES,YES,1608,158.23,0004005655,2021,establishments/area_km2
13219,狛江市,13,YES,YES,YES,1916,300.0,0004005655,2021,establishments/area_km2
13220,東大和市,13,YES,YES,YES,2327,173.34,0004005655,2021,establishments/area_km2
13221,清瀬市,13,YES,YES,YES,1736,169.69,0004005655,2021,establishments/area_km2
13222,東久留米市,13,YES,YES,YES,3075,238.72,0004005655,2021,establishments/area_km2
13223,武蔵村山市,13,YES,YES,YES,2297,149.92,0004005655,2021,establishments/area_km2
13224,多摩市,13,YES,YES,YES,3603,171.49,0004005655,2021,establishments/area_km2
13225,稲城市,13,YES,YES,YES,2216,123.32,0004005655,2021,establishments/area_km2
13227,羽村市,13,YES,YES,YES,1783,180.07,0004005655,2021,establishments/area_km2
13228,あきる野市,13,YES,YES,YES,2191,29.82,0004005655,2021,establishments/area_km2
13229,西東京市,13,YES,YES,YES,4792,304.2,0004005655,2021,establishments/area_km2
13303,瑞穂町,13,YES,YES,YES,1655,98.24,0004005655,2021,establishments/area_km2
13305,日の出町,13,YES,YES,YES,696,24.79,0004005655,2021,establishments/area_km2
13307,檜原村,13,YES,YES,YES,167,1.58,0004005655,2021,establishments/area_km2
13308,奥多摩町,13,YES,YES,YES,242,1.07,0004005655,2021,establishments/area_km2
