block,model,n,df_model,df_resid,rsquared,rsquared_adj,f_pvalue,cov_type,formula
primary,model1,218,9,208,0.84824,0.84168,0.0,HC3,z_log_service_2024_12 ~ z_log_chinese_stock_2023_12 + z_rail_accessibility + z_housing_cost + z_commercial_density + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
primary,model2,218,10,207,0.06466,0.01948,0.36272,HC3,chinese_growth_log_2024_12_2025_06 ~ z_log_service_2024_12 + z_log_chinese_stock_2023_12 + z_rail_accessibility + z_housing_cost + z_commercial_density + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
primary,model3,218,10,207,0.85233,0.8452,0.0,HC3,z_log_service_2024_12 ~ z_log_chinese_stock_2023_12 * z_commercial_density + z_rail_accessibility + z_housing_cost + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
primary,model4,218,11,206,0.07287,0.02337,0.440343,HC3,chinese_growth_log_2024_12_2025_06 ~ z_log_service_2024_12 * z_housing_cost + z_log_chinese_stock_2023_12 + z_rail_accessibility + z_commercial_density + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
robustness,model1,218,9,208,0.83204,0.82477,0.0,HC3,z_log_service_2024_06 ~ z_log_chinese_stock_2023_12 + z_rail_accessibility + z_housing_cost + z_commercial_density + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
robustness,model2,218,10,207,0.12934,0.08727,0.001076,HC3,chinese_growth_log_2024_06_2025_06 ~ z_log_service_2024_06 + z_log_chinese_stock_2023_12 + z_rail_accessibility + z_housing_cost + z_commercial_density + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
robustness,model3,218,10,207,0.83759,0.82974,0.0,HC3,z_log_service_2024_06 ~ z_log_chinese_stock_2023_12 * z_commercial_density + z_rail_accessibility + z_housing_cost + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
robustness,model4,218,11,206,0.1304,0.08396,0.001505,HC3,chinese_growth_log_2024_06_2025_06 ~ z_log_service_2024_06 * z_housing_cost + z_log_chinese_stock_2023_12 + z_rail_accessibility + z_commercial_density + z_population_density + z_non_chinese_foreign_stock + C(prefecture)
